Part	Country	Site	Cultural phase/ Dates	Dates	Notes on Dating	Confidence	Lower Range BC	Lower Range CE	Lower Range BP	Upper Range BC	Upper Range CE	Upper Range BP	Records	Latitude	Longtitude
Europe	Great Britain	Houghton Down	Middle Iron Age 	c. 390-206 cal BCE	Directly RCD	Yes	390		2340	206		2156	2 ABGs	51.099102	-1.527357
Europe	Great Britain	Stonehenge	Middle  Iron Age	407-237 cal BCE 	Directly RCD	Yes	407		2357	237		2187	1 specimen	51.178889	-1.826111
Europe	Great Britain	White Horse Stone	Early Iron Age	c. 757-403 cal BCE	Directly RCD	Yes	757		2707	403		2353	1 specimen	51.315278	0.514722
Europe	Great Britain	Nettlebank Copse	Early Iron Age 	~800-400 BCE		No	800		2750	400		2350	2 specimens	51.1499	-1.51938039
Europe	Great Britain	Blackhorse Road 	Early Iron Age	~800-400 BCE		No	800		2750	400		2350	2 specimens	51.586944	-0.041389
Europe	Great-Britain (Scotland)	Bornais Mound 2 and 2A	Norse Period 	~800-1,200 CE		No		800	1150		1200	750	89 specimens	57.243	-7.406
Europe	Great-Britain (Scotland)	Cille Pheadair	Norse Period 	~800-1,200 CE		No		800	1150		1200	750	39 specimens	57.152415	-7.391183
Europe	Great-Britain (Scotland)	Udal North	Norse Period 	~800-1,200 CE		No		800	1150		1200	750	45 specimens	57.668567	-7.334494
Europe	Greece	Messene, Sanctuary	Hellenistic	300-100 BCE		Maybe	300		2250	100		2050	40 specimens	37.175	21.92
Europe	Greece	Lousoi Sanctuary	Hellenistic	300-100 BCE		Maybe	300		2250	100		2050	22	38.0113	22.0972
Europe	Greece	Thebes	Hellenistic Period	323-146 BC		Maybe	323		2273	146		2096	3 specimen	38.316667	23.316667
Europe	Greece	Kassope	Hellenistic Period	323-146 BCE		Maybe	323		2273	146		2096	316 specimens	39.145278	20.675556
Europe	Greece	Athens, Aphrodite Ourania Sanctuary	Classical Period	~500-300 BCE 		Maybe	500		2450	300		2250	2	37.98381	23.72754
Europe	Greece	Thebes	Classical Period	510-323BCE		Maybe	510		2460	323		2273	1 specimen	38.316667	23.316667
Europe	Greece	Kalaureia, Island of Poros	Archaic Period	~520-480 BCE		Maybe	520		2470	480		2430	2 specimens	37.518611	23.479167
Europe	Greece	Corinth	Proto-Corinthian	~725-625 BCE		Maybe	725		2675	625		2575	Pottery Decoration	37.933333	22.933333
Europe	Hungary	Sajópetri	La Tène B2-C1	300 - 200 BCE		Maybe	300		2250	200		2150	9 specimens	48.033333	20.9
Europe	Hungary	Balassagyarmat	Scythian Period	650 - 450 BC 		Maybe	650		2600	450		2400	2	48.078611	19.294167
Europe	Hungary	Jászfelsöszentgyörgy	Scythian Period	650 - 450 BC 		Maybe	650		2600	450		2400	1	47.508889	19.790556
Europe	Ireland	Deer Park Farms	Early Medieval	600-700 CE		Maybe		600	1350		700	1250	3 specimens	54.910472	-5.992861
Europe	Ireland	Illaunloughan	Early Medieval	650-800 CE		Maybe		650	1300		800	1150	2 specimens	51.886589	-10.373427
Europe	Ireland	Carraig Aille	Early Medieval	400-800 CE		No		400	1550		800	1150	specimens	52.518376	-8.512521
Europe	Italy	Roccagloriosa	Greek Period	400-300 BCE		Maybe	400		2350	300		2250	5 specimens	40.116667	15.433333
Europe	Italy	Casale di Rivalta	Etruscan-Padan culture	500-400 BC		Maybe	500		2450	400		2350	+	44.65872	10.5891
Europe	Italy	Tarquinia, interro della Civita	Iron Age	500-400 BCE		Maybe	500		2450	400		2350	depiction	42.250444	11.769861
Europe	Italy	Vulci	Iron Age III C/D	525-500 BCE		Maybe	525		2475	500		2450	?	42.418889	11.631667
Europe	Italy	Metaponto, Basilicata, Chora of Metaponto	Greek Period	600-200 BCE		No	600		2550	200		2150	2 specimens	40.383333	16.824444
Europe	Italy	Lipari, Aeolian Islands (Sicily)	Iron Age III 	600-400 BCE		Maybe	600		2550	400		2350	13 specimens	38.466667	14.95
Europe	Italy	Monte Polizzo	Iron Age III 	600-400 BCE		Maybe	600		2550	400		2350	?	37.864444	12.788333
Europe	Italy	Paestum	Iron Age III 	600-400 BCE		Maybe	600		2550	400		2350	10	40.422222	15.005278
Europe	Italy	San Claudio	Etruscan-Padan culture	600-500 BCE		Maybe	600		2550	500		2450	+	41.9021	12.48138
Europe	Italy	Tarquinia, interro della Civita	Iron Age III B/C	600 - 550 BC 		Maybe	600		2550	550		2500	1	42.250444	11.769861
Europe	Italy	Valeggio	Late Iron Age	100-1 BCE		Maybe	100		2050	1		1951	165 specimens	45.35	10.733333
Europe	Italy	Casalandri	Late Iron Age	100-1 BCE		Maybe	100		2050	1		1951	330 specimens	45.2923	11.21453
Europe	Italy	San Giorgio di Valpolicella	Late Iron Age	200 - 1 BCE		Maybe	200		2150	1		1951	17 specimens	45.53474	10.84961
